Iteration,Discriminator Loss,Generator Loss
0,1.0095810890197754,0.6556115746498108
1,0.8462648391723633,0.6637377142906189
2,0.7759410738945007,0.6623725295066833
3,0.7549172639846802,0.6563696265220642
4,0.7633346319198608,0.6524085998535156
5,0.7605849504470825,0.6828690767288208
6,0.7868624925613403,0.7277413010597229
7,0.7951905131340027,0.7697945237159729
8,0.8022477030754089,0.809903085231781
9,0.8104414939880371,0.8391011953353882
10,0.8296343088150024,0.907224714756012
11,0.8330488204956055,0.9297413229942322
12,0.8377086520195007,0.9672576785087585
13,0.8497868180274963,0.9937495589256287
14,0.8562203645706177,1.0748474597930908
15,0.8372101187705994,0.8992120623588562
16,0.8910306692123413,1.1015712022781372
17,0.8639999628067017,1.2032954692840576
18,0.8234257698059082,1.243195652961731
19,0.7883036136627197,1.3365148305892944
20,0.7572435140609741,1.0031319856643677
21,0.7823482751846313,1.0976340770721436
22,0.77843177318573,1.3006478548049927
23,0.7553812861442566,1.3931552171707153
24,0.7354788780212402,1.3911352157592773
25,0.7183504700660706,1.4415494203567505
26,0.7153480052947998,1.4145176410675049
27,0.7240794897079468,1.3569989204406738
28,0.7540903091430664,1.3228695392608643
29,0.7949404716491699,1.290903925895691
30,0.8287680149078369,1.2253775596618652
31,0.8903661966323853,1.1839064359664917
32,0.9526825547218323,1.1437667608261108
33,1.0106961727142334,1.1325329542160034
34,1.0335875749588013,1.0671565532684326
35,1.0669939517974854,1.024186372756958
36,1.1213408708572388,0.9834975004196167
37,1.0892751216888428,0.9561923742294312
38,1.1014782190322876,0.9276905655860901
39,1.1136200428009033,0.8909735679626465
40,1.122001051902771,0.9066221714019775
41,1.0988823175430298,0.884968101978302
42,1.0837578773498535,0.8951012492179871
43,1.1074223518371582,0.9513580203056335
44,1.0926759243011475,0.8574994802474976
45,1.1158130168914795,0.9411824345588684
46,1.0966112613677979,0.8774150013923645
47,1.1389657258987427,0.9410783648490906
48,1.1410799026489258,0.948824405670166
49,1.148116946220398,0.9028464555740356
50,1.1501007080078125,0.9837595224380493
51,1.152767539024353,0.9155181050300598
52,1.1607334613800049,0.9904825687408447
53,1.1726100444793701,0.9545791149139404
